fcode,name,type,components,status,supersedes,created,note
f0001a,隔夜-日内反转,single,,current,,2026-08-09,
f0002a,特质波动率(低波溢价),single,,current,,2026-08-10,
f0003a,等权组合(隔夜反转+低波),combo,"f0001a,f0002a",current,,2026-08-10,
f0004a,筹码成本偏离,single,,current,,2026-08-17,
f0005a,量能扩张速度,single,,current,,2026-08-17,
f0006a,动量20日,single,,current,,2026-08-17,
f0007a,反转5日,single,,current,,2026-08-17,
f0008a,隔夜跳空缺口,single,,current,,2026-08-17,
f0009a,涨停封板强度,single,,current,,2026-08-17,
f0010a,市值对数,single,,current,,2026-08-17,
f0011a,120日平均换手率,single,,current,,2026-08-20,
f0012a,10日平均换手率,single,,current,,2026-08-20,
f0013a,240日平均换手率,single,,current,,2026-08-20,
f0016a,20日成交金额标准差,single,,current,,2026-08-20,
f0017a,5日平均换手率,single,,current,,2026-08-20,
f0018a,5日EMA,single,,current,,2026-08-20,
f0019a,10日EMA,single,,current,,2026-08-20,
f0020a,12日EMA,single,,current,,2026-08-20,
f0021a,120日EMA,single,,current,,2026-08-20,
f0022a,5日MA,single,,current,,2026-08-20,
f0023a,20日成交金额MA,single,,current,,2026-08-20,
f0024a,20日资金流量,single,,current,,2026-08-20,
f0025a,布林上轨(20日),single,,current,,2026-08-20,
f0014a,存货周转天数,single,,current,,2026-08-24,
f0015a,应收账款周转天数,single,,current,,2026-08-24,
f0027a,近20日已实现偏度,single,,current,,2026-09-01,
f0028a,长下影线,single,,current,,2026-09-02,
f0026a,量能扩张速度,single,,current,,2026-09-03,
f0029a,连涨占比短期反转,single,,current,,2026-09-03,
f0030a,20日成交量变异系数,single,,current,,2026-09-03,
f0031a,20日Amihud非流动性,single,,current,,2026-09-03,
f0032a,波动率扩张速度,single,,current,,2026-09-04,
f0033a,流动性改善度,single,,current,,2026-09-04,
f0034a,触底反弹信号,single,,current,,2026-09-04,
f0035a,12-1动量,single,,current,,2026-09-04,
f0036a,长上影线,single,,current,,2026-09-04,
f0037a,收益反向交叉次数,single,,current,,2026-09-04,
f0038a,趋势平滑度R²,single,,current,,2026-09-05,
f0040a,最低3日收益,single,,current,,2026-09-05,
f0041a,低位放量事件,single,,current,,2026-09-05,
f0042a,分歧度代理,single,,current,,2026-09-05,
f0043a,特异度占比,single,,current,,2026-09-05,
f0039a,最大5日涨幅,single,,current,,2026-09-05,
f0045a,隔夜-日内分解,single,,current,,2026-09-06,
f0044a,隔夜收益占比,single,,current,,2026-09-06,
f0046a,特质波动率比率,single,,current,,2026-09-06,
f0047a,相对市场收益偏离,single,,current,,2026-09-06,
f0048a,隔夜跳空-波动扩张价差,single,,current,,2026-09-06,
f0049a,60日反转,single,,current,,2026-09-06,
f0050a,非对称5日反转,single,,current,,2026-09-07,
f0051a,特质收益下尾beta,single,,current,,2026-09-07,
f0052a,双过滤动量,single,,current,,2026-09-07,
f0053a,rejoicing-regret度,single,,current,,2026-09-07,
f0054a,超额收益信息比率,single,,current,,2026-09-07,
f0055a,量价背离,single,,current,,2026-09-07,
f0056a,日内博弈激烈度,single,,current,,2026-09-08,
f0057a,超跌反弹分,single,,current,,2026-09-08,
f0058a,beta量波动交互,single,,current,,2026-09-08,
f0059a,组内换手异常超出幅度,single,,current,,2026-09-08,
f0060a,ROE,single,,current,,2026-09-09,
f0061a,ROA,single,,current,,2026-09-09,
f0062a,毛利率,single,,current,,2026-09-09,
f0063a,净利率,single,,current,,2026-09-09,
f0064a,资产周转率,single,,current,,2026-09-09,
f0065a,营业利润率,single,,current,,2026-09-09,
f0066a,财务杠杆,single,,current,,2026-09-09,
f0067a,盈利现金保障,single,,current,,2026-09-09,
f0068a,应计,single,,current,,2026-09-09,
f0069a,扣非净利占比,single,,current,,2026-09-09,
f0070a,EP,single,,current,,2026-09-09,
f0071a,营收同比,single,,current,,2026-09-09,
f0072a,净利同比,single,,current,,2026-09-09,
f0073a,预告净利同比,single,,current,,2026-09-09,
f0074a,预告类型分档,single,,current,,2026-09-09,
f0075a,前瞻EP,single,,current,,2026-09-09,
f0076a,SUE标准化未预期盈余,single,,current,,2026-09-09,
