fcode_a,fcode_b,pearson_rho
f0005a,f0026a,1.0
f0018a,f0019a,1.0
f0018a,f0020a,1.0
f0018a,f0022a,1.0
f0019a,f0020a,1.0
f0019a,f0022a,1.0
f0020a,f0022a,0.999
f0020a,f0021a,0.989
f0019a,f0021a,0.988
f0018a,f0021a,0.987
f0021a,f0022a,0.986
f0023a,f0024a,0.973
f0012a,f0017a,0.969
f0011a,f0013a,0.931
f0016a,f0030a,0.858
f0011a,f0012a,0.827
f0001a,f0003a,0.822
f0011a,f0017a,0.799
f0012a,f0023a,0.794
f0012a,f0024a,0.777
f0017a,f0023a,0.769
f0012a,f0013a,0.753
f0017a,f0024a,0.752
f0013a,f0017a,0.73
f0011a,f0023a,0.725
f0002a,f0003a,0.72
f0011a,f0024a,0.709
