分类,序号,因子名称,最小分位超额年化,最大分位超额年化,最小分位换手,最大分位换手,IC,IR
动量类因子,1,10日乖离率,31.91,1.73,0.29,0.29,0.3,0.443
动量类因子,2,10日终极指标TRIX,2.95,3.43,0.06,0.07,0.66,0.278
动量类因子,3,10日顺势指标,2.99,-11.51,0.4,0.32,0.466,0.418
动量类因子,4,120日变动速率(Price Rate of Change),28.39,2.21,0.06,0.07,0.15,0.239
动量类因子,5,12日变动速率(Price Rate of Change),17.96,3.33,0.22,0.21,0.61,0.302
动量类因子,6,12日收盘价格与日期线性回归系数,21.73,2.16,0.26,0.26,0.303,0.132
动量类因子,7,15日顺势指标,-1.19,-6.49,0.31,0.25,0.596,0.315
动量类因子,8,20日乖离率,16.28,-0.39,0.2,0.21,0.534,0.243
动量类因子,9,20日顺势指标,-2.07,-6.51,0.26,0.21,0.638,0.322
动量类因子,10,24日收盘价格与日期线性回归系数,11.21,1.64,0.18,0.19,0.684,0.27
动量类因子,11,5日乖离率,27.43,-0.62,0.42,0.43,0.843,0.626
动量类因子,12,5日终极指标TRIX,22.59,2.74,0.13,0.13,0.054,0.489
动量类因子,13,60日乖离率,11.05,1.47,0.1,0.12,0.119,0.096
动量类因子,14,60日变动速率(Price Rate of Change),18.06,-2.5,0.09,0.09,0.526,0.813
动量类因子,15,6日变动速率(Price Rate of Change),19.71,5.06,0.31,0.3,0.822,0.487
动量类因子,16,6日收盘价格与日期线性回归系数,28.38,0.17,0.38,0.39,0.317,0.286
动量类因子,17,88日顺势指标,5.39,-9.12,0.11,0.09,0.922,0.361
动量类因子,18,Aroon指标上轨,-9.57,0.1,0.28,0.15,0.726,0.944
动量类因子,19,Aroon指标下轨,3.97,4.3,0.15,0.27,0.476,0.35
动量类因子,20,BBI动量,3.67,14.93,0.31,0.29,0.746,0.884
动量类因子,21,CR指标,1.89,-0.62,0.15,0.14,0.325,0.813
动量类因子,22,单日价量趋势12均值,-2.68,7.13,0.19,0.16,0.85,0.284
动量类因子,23,单日价量趋势6日均值,3.74,2.56,0.27,0.25,0.595,0.991
动量类因子,24,单日价量趋势,0.01,11.39,0.7,0.72,0.191,0.709
动量类因子,25,多头力道,9.2,5.23,0.27,0.26,0.474,0.784
动量类因子,26,当前股价除以过去一个月股价均值再减1,18.1,2.64,0.19,0.2,0.986,0.854
动量类因子,27,当前股价除以过去一年股价均值再减1,31.0,-7.47,0.03,0.05,0.352,0.057
动量类因子,28,当前股价除以过去三个月股价均值再减1,10.34,1.55,0.1,0.12,0.564,0.866
动量类因子,29,梅斯线,1.02,10.93,0.09,0.09,0.411,0.206
动量类因子,30,空头力道,21.08,-8.89,0.24,0.26,0.509,0.01
基础科目及衍生类因子,1,净债务,22.2,-12.53,0.0,0.0,0.374,0.242
基础科目及衍生类因子,2,净利润TTM,45.46,-18.41,0.01,0.0,0.794,0.437
基础科目及衍生类因子,3,净运营资本,-5.4,-3.44,0.0,0.0,0.698,0.736
基础科目及衍生类因子,4,利润总额TTM,65.17,-17.83,0.0,0.0,0.893,0.152
基础科目及衍生类因子,5,归属于母公司股东的净利润TTM,45.46,-18.41,0.01,0.0,0.028,0.06
