排名,分类,因子名称,IC,IR,最大分位超额年化,最大分位换手
1,基础科目及衍生类因子,现金流市值比,0.996,0.973,4.34,0.01
2,情绪类因子,5日平均换手率,0.996,0.12,27.04,0.06
3,财务类因子,支付其他与投资活动有关的现金,0.995,0.752,0.31,0.35
4,财务类因子,影响现金及现金等价物的差错金额,0.993,0.821,0.12,0.5
5,财务类因子,汇率变动对现金及现金等价物的影响,0.992,0.84,0.32,0.54
6,财务类因子,吸收投资收到的现金,0.988,0.967,0.02,0.55
7,动量类因子,当前股价除以过去一个月股价均值再减1,0.986,0.854,2.64,0.2
8,质量类因子,流动资产周转率TTM,0.984,0.18,-17.69,0.0
9,财务类因子,支付的各项税费,0.983,0.355,0.4,0.12
10,财务类因子,应收分保账款,0.975,0.577,0.51,0.74
11,财务类因子,投资活动现金流入小计,0.969,0.76,0.95,0.59
12,财务类因子,其他非流动负债,0.964,0.682,0.2,0.59
13,财务类因子,现金及现金等价物净增加额,0.962,0.86,0.2,0.19
14,成长类因子,当年净资产收益率ROE,0.961,0.481,4.03,0.01
15,财务类因子,取得借款收到的现金,0.956,0.605,0.8,0.52
16,财务类因子,已赚保费,0.955,0.617,0.03,0.89
17,情绪类因子,12日量变动速率指标,0.951,0.935,7.3,0.53
18,质量类因子,经营活动产生现金流量净额与净债务比率,0.951,0.825,-6.64,0.01
19,财务类因子,流动资产的调整项目,0.939,0.278,0.61,0.83
20,财务类因子,被合并方在合并前实现的净利润,0.934,0.707,0.01,0.45
