排名,分类,因子名称,IR,IC,最大分位超额年化,最大分位换手
1,财务类因子,其他应付款(合计)：其他应付款,0.998,0.664,0.23,0.64
2,财务类因子,应收保费,0.993,0.682,0.37,0.47
3,技术指标因子,120日移动均线,0.992,0.361,20.9,0.06
4,动量类因子,单日价量趋势6日均值,0.991,0.595,2.56,0.25
5,成长类因子,筹资活动产生的现金流量净额增长率,0.99,0.314,-4.56,0.02
6,成长类因子,净资产增长率,0.986,0.233,12.3,0.01
7,财务类因子,其他流动资产,0.982,0.635,0.87,0.7
8,财务类因子,收到其他与投资活动有关的现金,0.981,0.045,0.17,0.68
9,财务类因子,其他应收款(合计)：其他应收款,0.98,0.419,0.44,0.52
10,情绪类因子,心理线指标,0.979,0.623,-2.08,0.22
11,财务类因子,综合收益总额,0.976,0.239,0.94,0.67
12,基础科目及衍生类因子,现金流市值比,0.973,0.996,4.34,0.01
13,财务类因子,销售费用,0.973,0.568,0.77,0.22
14,情绪类因子,20日平均换手率,0.972,0.302,30.22,0.02
15,财务类因子,质押贷款净增加额,0.972,0.696,0.51,0.14
16,每股指标因子,每股营业利润TTM,0.971,0.218,6.95,0.0
17,财务类因子,减:库存股,0.97,0.622,0.56,0.83
18,情绪类因子,120日平均换手率,0.969,0.767,50.66,0.01
19,财务类因子,吸收投资收到的现金,0.967,0.988,0.02,0.55
20,财务类因子,向中央银行借款净减少额,0.967,0.091,0.96,0.07
